Category,Metric,Value
Returns,Cumulative Return,1557.87%
Returns,Annualized Return,10.57%
Benchmark,Benchmark Cumulative Return,607.28%
Benchmark,Benchmark Annualized Return,7.25%
Risk,Annualized Volatility,20.31%
Risk,Maximum Drawdown,-51.83%
Risk,Value at Risk (95%),-2.01%
Risk,CVaR / Expected Shortfall,-3.05%
Risk,Ulcer Index (Full Period),0.1810
Ratios,Sharpe Ratio,0.521
Ratios,Sortino Ratio,0.734
Ratios,Calmar Ratio,0.204
Ratios,Omega Ratio,1.096
Benchmark,Beta,1.005
Benchmark,Alpha (Annualized),3.28%
Dotcom Crash,Cum Return (Peak→Trough),-44.92%
Dotcom Crash,Max Drawdown (Peak→Trough),-48.13%
Dotcom Crash,Sharpe (Peak→Trough),-0.848
Dotcom Crash,Sortino (Peak→Trough),-1.169
Dotcom Crash,Ulcer Index (Peak→Trough),0.2416
Dotcom Crash,Calmar (Peak→Trough),-0.435
Dotcom Crash,Cum Return (Trough→Recovery),85.16%
Dotcom Crash,Max Drawdown (Trough→Recovery),-50.41%
Dotcom Crash,Sharpe (Trough→Recovery),0.321
Dotcom Crash,Sortino (Trough→Recovery),0.452
Dotcom Crash,Ulcer Index (Trough→Recovery),0.1663
Dotcom Crash,Calmar (Trough→Recovery),0.127
GFC (Full),Cum Return (Peak→Trough),-49.97%
GFC (Full),Max Drawdown (Peak→Trough),-50.41%
GFC (Full),Sharpe (Peak→Trough),-1.058
GFC (Full),Sortino (Peak→Trough),-1.413
GFC (Full),Ulcer Index (Peak→Trough),0.2393
GFC (Full),Calmar (Peak→Trough),-0.769
GFC (Full),Cum Return (Trough→Recovery),98.71%
GFC (Full),Max Drawdown (Trough→Recovery),-15.30%
GFC (Full),Sharpe (Trough→Recovery),1.227
GFC (Full),Sortino (Trough→Recovery),1.803
GFC (Full),Ulcer Index (Trough→Recovery),0.0495
GFC (Full),Calmar (Trough→Recovery),1.455
Early Credit Crunch,Cum Return (Start→End),-22.44%
Early Credit Crunch,Max Drawdown (Start→End),-23.13%
Early Credit Crunch,Sharpe (Start→End),-1.058
Early Credit Crunch,Sortino (Start→End),-1.398
Early Credit Crunch,Ulcer Index (Start→End),0.1310
Early Credit Crunch,Calmar (Start→End),-1.027
Acute GFC Crash,Cum Return (Peak→Trough),-39.02%
Acute GFC Crash,Max Drawdown (Peak→Trough),-38.91%
Acute GFC Crash,Sharpe (Peak→Trough),-1.169
Acute GFC Crash,Sortino (Peak→Trough),-1.552
Acute GFC Crash,Ulcer Index (Peak→Trough),0.2298
Acute GFC Crash,Calmar (Peak→Trough),-1.653
Acute GFC Crash,Cum Return (Trough→Recovery),53.28%
Acute GFC Crash,Max Drawdown (Trough→Recovery),-5.73%
Acute GFC Crash,Sharpe (Trough→Recovery),3.328
Acute GFC Crash,Sortino (Trough→Recovery),5.755
Acute GFC Crash,Ulcer Index (Trough→Recovery),0.0161
Acute GFC Crash,Calmar (Trough→Recovery),11.213
European Debt + US Debt Ceiling,Cum Return (Start→End),21.27%
European Debt + US Debt Ceiling,Max Drawdown (Start→End),-15.02%
European Debt + US Debt Ceiling,Sharpe (Start→End),0.558
European Debt + US Debt Ceiling,Sortino (Start→End),0.774
European Debt + US Debt Ceiling,Ulcer Index (Start→End),0.0608
European Debt + US Debt Ceiling,Calmar (Start→End),0.702
Monetary Policy,Cum Return (Peak→Trough),-19.95%
Monetary Policy,Max Drawdown (Peak→Trough),-20.28%
Monetary Policy,Sharpe (Peak→Trough),-2.336
Monetary Policy,Sortino (Peak→Trough),-2.758
Monetary Policy,Ulcer Index (Peak→Trough),0.0800
Monetary Policy,Calmar (Peak→Trough),-2.850
